method,n,seed,mae,rmse,r2,mape,bep_q_err,bep_h_err,bep_eff_err
LHS,20,16,0.0034610649332329304,0.006292020555329571,0.9894657328757717,0.5502351606166926,0.0,1.0,0.00884101407929383
LHS,20,17,0.0015056124933452769,0.0024481267970302713,0.9984052526956474,0.24510500454816578,0.0,0.0,0.004393225395253997
LHS,20,18,0.0017961411058636028,0.0028490262606337253,0.9978401829462308,0.287730385268536,0.02739999999999998,0.0,0.005666279374012317
LHS,20,19,0.002410383544848486,0.005141507237780122,0.992965957883055,0.3766207092050748,0.02739999999999998,1.0,0.008141920084472676
LHS,25,0,0.0018072674934036387,0.004394112421667456,0.9948623278249307,0.2835864959975384,0.02739999999999998,1.0,0.004767955207047758
LHS,25,1,0.002661138519998967,0.0056305987092902365,0.9915640652050554,0.41226591962202586,0.0,1.0,0.006102405626585261
LHS,25,2,0.0019279327293174877,0.004617990293788308,0.9943254674322021,0.30160617021048697,0.02739999999999998,1.0,0.003984496131961834
LHS,25,3,0.0013120148738625613,0.0021946040013883427,0.9987184475218205,0.20969432616777506,0.018299999999999983,0.0,0.0046878523657262194
LHS,25,4,0.0020536076846145754,0.005096617104501736,0.9930882491251085,0.32056128028613995,0.02739999999999998,1.0,0.008125919997936104
LHS,25,5,0.002154526811776828,0.004092550693089591,0.9955433123582886,0.3546099261925376,0.02739999999999998,0.0,0.0011538250103372283
LHS,25,6,0.002028393499107921,0.0035478549457674015,0.9966506867148608,0.3328790566179093,0.0,0.0,5.0018981034849475e-06
LHS,25,7,0.0021756241774988794,0.00465303963049198,0.994239004124095,0.3398889759224628,0.0,1.0,0.003250272894985917
LHS,25,8,0.0015531864340261796,0.0026777811168343163,0.9980920182746518,0.25622923174593804,0.0,0.0,0.003966710382786398
LHS,25,9,0.0014544718468085295,0.002726310744801556,0.9980222346142307,0.23255535151831605,0.02739999999999998,0.0,0.0026687985536126835
LHS,25,10,0.0019601196572562093,0.0033786450662524692,0.9969625495458078,0.33140236652811883,0.02739999999999998,0.0,0.001443664151110302
LHS,25,11,0.002632440957628747,0.005429130311214124,0.9921569570555765,0.43914999711462555,0.02739999999999998,1.0,0.004050067620920417
