method,n,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,mape_mean,mape_std,bep_q_err_mean,bep_q_err_std,bep_h_err_mean,bep_h_err_std,bep_eff_err_mean,bep_eff_err_std
Grid,14,0.0022050173670525456,0.0,0.0035948878872789644,0.0,0.9965612962457362,0.0,0.35512311850104145,0.0,0.007600000000000051,0.0,1.0,0.0,0.008418399554116052,0.0
Grid,16,0.0021412051610097235,5.592770683544054e-11,0.0035753560565647408,7.28666818974349e-11,0.9965985612301766,1.3864441645329248e-10,0.3402943373473038,9.586841831757457e-09,0.007600000000000051,0.0,1.0,0.0,0.008419693952459706,5.334347420227698e-13
Grid,20,0.0019392775335868328,0.0002535915353854272,0.003298364483115953,0.00041201783989321854,0.9970622693220461,0.0007212417132511107,0.30685888849808723,0.04160007004111577,0.007755000000000045,0.0030067424232880276,0.9,0.3077935056255462,0.008206117422854625,0.0008361816438079999
Grid,25,0.0016418141659258283,6.610855041950164e-11,0.0027454743281058146,1.2377695823974517e-10,0.9979943329691124,1.8084696079691178e-10,0.262536758890017,1.1473241742982317e-08,0.007600000000000051,0.0,1.0,0.0,0.008428985166011694,2.624349783406984e-12
Grid,30,0.0013492386115067278,0.00018296972933323766,0.002429036251298628,0.0003132269754344972,0.9984052266518211,0.00041736772914879227,0.21454028533263553,0.029099105204975072,0.011640000000000017,0.011037276551949313,0.45,0.5104177855340404,0.006461952578581881,0.0029974347615991945
LHS,6,0.007108435661398125,0.004033905173221364,0.010025460308005819,0.0053781767733540944,0.9659439187688459,0.04354371658828455,1.2102499708094248,0.675807833082191,0.022399999999999996,0.008222177967321997,1.0,0.7947194142390263,0.00939192915498086,0.0072621914391214765
LHS,8,0.0043961286560358385,0.001209303639166646,0.006584261138826172,0.0019253034780460484,0.9875274400413007,0.006725315498553495,0.7241253796328684,0.20459767822178576,0.026379999999999987,0.00442238325840382,0.9,0.3077935056255463,0.009429513190794214,0.006719761029114813
LHS,10,0.003599266179586213,0.0008296717574202613,0.005434956112912377,0.0012468086465058294,0.9917471568240448,0.0038625932775667015,0.5919287044559713,0.14437839128441518,0.024964999999999987,0.0062757071314713,0.85,0.36634754853252316,0.006970522671621304,0.004782125014859297
LHS,12,0.0027154026985044912,0.0005520205063679226,0.004448703441877531,0.0009695417599499588,0.9944962585593199,0.0023344106569960616,0.4380762724860066,0.09152659696179005,0.02146,0.009309214450436186,0.8,0.4103913408340616,0.007475083424919976,0.004664661588224134
LHS,14,0.002752562674668812,0.000728412501619949,0.004529017471674823,0.0012172214740354336,0.9941674883423202,0.002971303455145824,0.4486190781314809,0.12320597715279515,0.021204999999999995,0.010242454218645659,0.65,0.48936048492959294,0.00767412363359461,0.00458180946604383
LHS,16,0.0022373338502174635,0.0005635775179446018,0.00383932784116025,0.0009522254059927414,0.9958485507099819,0.0022601181612088533,0.35730255522248533,0.0940352629361021,0.024054999999999986,0.0065241635882552435,0.35,0.48936048492959294,0.00752522790425234,0.004551207512008328
LHS,20,0.002209422833745743,0.0006251031984419293,0.004086418795543676,0.001206364539658638,0.9951887784998845,0.002745702509112877,0.35744845924423846,0.10578367939708168,0.021389999999999985,0.010481909227456196,0.6,0.5026246899500346,0.006792874042529334,0.0038271529930326937
LHS,25,0.0019770889720371644,0.0004676744864834794,0.003961672398797959,0.0012586678200216573,0.9954233310992604,0.002923238311142684,0.31805644716751746,0.07412982638936609,0.018514999999999986,0.012240582846460065,0.55,0.6048053188292994,0.004968907561382563,0.0041694880998547484
LHS,30,0.0018733498967500345,0.0005168535818892672,0.003926259513759337,0.0013640187678313626,0.9954278138801866,0.0032145662944827224,0.3030471677353563,0.0879988241284354,0.02557499999999998,0.0063534387705026524,0.6,0.5026246899500346,0.004912840933883939,0.004350122049746673
Random,6,0.012057246708407986,0.0063971839145771665,0.01830599559763097,0.010989463800798273,0.880303479145263,0.144349901694575,2.1334894435536684,1.2289738776340395,0.022805000000000002,0.009437521697430602,0.9,0.6407232755171876,0.008224506844039086,0.006579003761528191
Random,8,0.00604169977683263,0.0028814543231929024,0.008916433728442898,0.00420768271693597,0.9743699029942702,0.026563632963293834,1.0289316879139716,0.5212132732893381,0.022789999999999987,0.009542861757686502,0.8,0.6155870112510925,0.009875676819545893,0.007793238854198787
Random,10,0.004794916177766027,0.0019873695910966388,0.007603597294893748,0.0036009908292833344,0.9813383779894135,0.022962416392298995,0.8082126996956711,0.38324837971621356,0.022604999999999993,0.009031667969748948,0.7,0.47016234598162726,0.009196979019720863,0.004913738404700115
Random,12,0.006086950260532969,0.007221242817189635,0.009878967731522805,0.011947429821042266,0.9379489783493999,0.1958179634090967,1.0652272234296447,1.3680314733897372,0.022954999999999996,0.008131062920093897,0.55,0.5104177855340404,0.008606204430454156,0.004563393852274673
Random,14,0.0035094307270546214,0.0013827861333567,0.005667620691153149,0.0023507859272921153,0.9900558381884798,0.00910974721695986,0.5884948333259788,0.24731949781263,0.021234999999999993,0.010260567081896831,0.4,0.5026246899500346,0.008099848373478042,0.006124005377368536
Random,16,0.0032558719782214917,0.0024022683016549306,0.0056804485342243265,0.004321515434838677,0.9866931852435001,0.023419572416251297,0.5530032418999149,0.4617687299898007,0.02442999999999999,0.007253681460943935,0.55,0.5104177855340404,0.006139106319511467,0.004838424873569408
Random,20,0.0023764104857779784,0.00047481304565273917,0.004096656898563761,0.0010340280606040155,0.9952640857495421,0.002499038238682743,0.3923933779086238,0.08940924937610907,0.01823999999999999,0.012549749420857598,0.35,0.48936048492959294,0.004002660348313874,0.003991701220447295
Random,25,0.0020620909779457174,0.0010023537271448414,0.003824083390788574,0.0021985083340206107,0.9948870322283334,0.008156879092327577,0.33761590069220976,0.17824547831828533,0.012634999999999997,0.013106096411895285,0.35,0.4893604849295929,0.004717276679008309,0.004194948930779425
Random,30,0.0015435622194347053,0.000346416674664039,0.0029437534812230865,0.0009286315918847329,0.997476182848601,0.0018768097948577383,0.24707110985683847,0.052872211078594473,0.016289999999999992,0.012535461278855433,0.25,0.4442616583193193,0.0035808725236644136,0.005098312601865346
